record_id,paper_id,sample_label,data_origin,matrix_class,matrix_name,particle_type,particle_grade,particle_true_density_g_cc,particle_mean_diameter_um,particle_wall_thickness_ratio,particle_volume_fraction,particle_weight_fraction,process_route,cure_or_process_temperature_c,additional_fillers,measured_density_g_cc,theoretical_density_g_cc,matrix_porosity_fraction,particle_breakage_fraction,test_type,strain_rate_per_s,temperature_c,standard,modulus_mpa,strength_mpa,strain_at_failure,energy_absorption_mj_m3,plateau_stress_mpa,densification_strain,specific_modulus_mpa_per_g_cc,specific_strength_mpa_per_g_cc,storage_modulus_mpa,loss_tangent,thermal_conductivity_w_mk,cte_per_k,moisture_uptake_pct,extractor_confidence,flags
W3103969871-017,W3103969871,"cp-Al/Al2O3 (Hao [60], quasi-static)",primary,aluminum,cp-Al,ceramic_hollow,Al2O3 hollow spheres,,,,,,stir_casting,,,,,,,compression,,,ISO 13314,,61.5,,,46.5,0.46,,,,,,,,0.65,
W3103969871-018,W3103969871,"cp-Al/Cenosphere (Akinwekomi [61], quasi-static)",primary,aluminum,cp-Al,fly_ash_cenosphere,,,,,,,powder_metallurgy,,,,,,,compression,,,ISO 13314,,38.6,,,26.8,0.6,,,,,,,,0.65,
W3103969871-019,W3103969871,"Al 2014/Cenosphere (Goel [36], dynamic)",primary,aluminum,Al 2014,fly_ash_cenosphere,"Cenospheres, 75-150 µm",,,,,,stir_casting,,,,,,,compression,,,ISO 13314,,572.0,,,,0.4,,,,,,,,0.65,
W4302024750-000,W4302024750,CM(I),primary,aluminum,Al7075-T (Al 7075-T6 reference properties),ceramic_hollow,"ceramic microspheres, 25-75 um size range",,,,0.66,0.88,pressure_infiltration,,,2.388,,,,compression,0.00083,25.0,,3220.0,179.0,,,175.0,0.36,1348.4087102177555,74.95812395309883,,,,,,0.85,
W4302024750-001,W4302024750,CM(II),primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 100-250 um size range",,,,0.66,0.88,pressure_infiltration,,,2.321,,,,compression,0.00083,25.0,,2830.0,167.0,,,150.0,0.41,1219.3020249892286,71.95174493752693,,,,,,0.85,
W4302024750-002,W4302024750,CM(III),primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 250-500 um size range",,,,0.66,0.88,pressure_infiltration,,,2.25,,,,compression,0.00083,25.0,,2450.0,160.0,,,148.0,0.43,1088.888888888889,71.11111111111111,,,,,,0.85,
W4302024750-003,W4302024750,CM(IV),primary,aluminum,Al7075-T,ceramic_hollow,,,,,,,pressure_infiltration,,,1.79,,,,compression,0.00083,25.0,,2400.0,130.0,,,128.0,0.43,1340.782122905028,72.62569832402235,,,,,,0.8,
W4302024750-004,W4302024750,CM(V),primary,aluminum,Al7075-T,ceramic_hollow,,,,,,,pressure_infiltration,,,1.68,,,,compression,0.00083,25.0,,2250.0,101.0,,,78.0,0.44,1339.2857142857144,60.11904761904762,,,,,,0.8,
W4302024750-005,W4302024750,CM(VI),primary,aluminum,Al7075-T,ceramic_hollow,,,,,,,pressure_infiltration,,,1.585,,,,compression,0.00083,25.0,,2100.0,75.0,,,65.0,0.5,1324.9211356466876,47.31861198738171,,,,,,0.8,
W4302024750-006,W4302024750,CM(I)1,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 25-75 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,1578.0,25.0,,14220.0,601.4,,,,,,,,,,,,0.85,
W4302024750-007,W4302024750,CM(I)2,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 25-75 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,1547.0,25.0,,13950.0,574.9,,,,,,,,,,,,0.85,
W4302024750-008,W4302024750,CM(II)1,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 100-250 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,1517.0,25.0,,13160.0,487.9,,,,,,,,,,,,0.85,
W4302024750-009,W4302024750,CM(II)2,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 100-250 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,1273.0,25.0,,12870.0,461.0,,,,,,,,,,,,0.85,
W4302024750-010,W4302024750,CM(III)1,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 250-500 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,1263.0,25.0,,11930.0,265.0,,,,,,,,,,,,0.85,
W4302024750-011,W4302024750,CM(III)2,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 250-500 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,882.0,25.0,,9040.0,203.0,,,,,,,,,,,,0.85,
W1965067647-000,W1965067647,Balloon 80,primary,pp,Polypropylene blended with 30 wt% ethylene propylene rubber (EPR),polymer_hollow,"Expancel 950-80 (Akzo Nobel), PMMA shell",,42.2,,0.1,,injection_molding,200.0,EPR elastomer 30 wt% in matrix,,,,,tension,,25.0,ASTM D1708,,,,,,,,,,,,,,0.6,
W1965067647-001,W1965067647,Balloon 80,primary,pp,Polypropylene blended with 30 wt% ethylene propylene rubber (EPR),polymer_hollow,"Expancel 950-80 (Akzo Nobel), PMMA shell",,42.2,,0.1,,injection_molding,200.0,EPR elastomer 30 wt% in matrix,,,,,impact,,25.0,,,,,,,,,,,,,,,0.6,
W1965067647-002,W1965067647,Balloon 120,primary,pp,Polypropylene blended with 30 wt% ethylene propylene rubber (EPR),polymer_hollow,"Expancel 950-120 (Akzo Nobel), PMMA shell",,55.9,,0.1,,injection_molding,200.0,EPR elastomer 30 wt% in matrix,,,,,tension,,25.0,ASTM D1708,,,,,,,,,,,,,,0.6,
W1965067647-003,W1965067647,Balloon 120,primary,pp,Polypropylene blended with 30 wt% ethylene propylene rubber (EPR),polymer_hollow,"Expancel 950-120 (Akzo Nobel), PMMA shell",,55.9,,0.1,,injection_molding,200.0,EPR elastomer 30 wt% in matrix,,,,,impact,,25.0,,,,,,,,,,,,,,,0.6,
W2096196253-000,W2096196253,"Typical syntactic foam (Fig. 3, matrix not specified)",primary,other,,glass_microballoon,,,,,,,other,,,,,,,hydrostatic,,,,2900.0,95.0,,,,,,,,,,,,0.5,
W2096196253-001,W2096196253,Mat A (rigid epoxy matrix),primary,epoxy,,glass_microballoon,,,,,,,other,,,,,,,hydrostatic,,,,,90.0,,,,,,,,,,,,0.75,
W2096196253-002,W2096196253,Mat B (soft PU matrix),primary,polyurethane,,glass_microballoon,,,,,,,other,,,,,,,hydrostatic,,,,,50.0,,,,,,,,,,,,0.75,
W2096196253-003,W2096196253,Mat A (rigid epoxy matrix) - modified Arcan shear,primary,epoxy,,glass_microballoon,,,,,,,other,,,,,,,shear,,,,800.0,,,,,,,,,,,,,0.7,
W2096196253-004,W2096196253,Mat B (soft PU matrix) - modified Arcan shear,primary,polyurethane,,glass_microballoon,,,,,,,other,,,,,,,shear,,,,,,1.2,,,,,,,,,,,0.6,strain_at_failure_out_of_range;strain_at_failure_looks_like_percent
W2396011947-000,W2396011947,matrix (silicone rubber mixed PU resin),primary,polyurethane,Smooth-On Task 3 rigid two-part PU casting resin with 10 wt% MoldStar30 silicone rubber,glass_microballoon,3M A20/1000 (none in this sample),0.2,105.0,,,0.0,mechanical_mixing_cast,23.0,"10 wt% silicone rubber (MoldStar30, 30 Shore A)",0.952,,,,compression,0.00098,25.0,,696.0,40.0,0.65,,,,731.09243697479,42.016806722689076,,,,,,0.85,
W2396011947-001,W2396011947,syntactic foam type A (10% GB),primary,polyurethane,Smooth-On Task 3 rigid two-part PU casting resin with 10 wt% MoldStar30 silicone rubber,glass_microballoon,3M A20/1000,0.2,105.0,,,0.1,mechanical_mixing_cast,23.0,"10 wt% silicone rubber (MoldStar30, 30 Shore A)",0.44428,,,,compression,0.00098,25.0,,454.0,11.7,0.73,,,,1021.8780948951112,26.33474385522643,,,,,,0.85,
W2396011947-002,W2396011947,syntactic foam type B (30% GB),primary,polyurethane,Smooth-On Task 3 rigid two-part PU casting resin with 10 wt% MoldStar30 silicone rubber,glass_microballoon,3M A20/1000,0.2,105.0,,,0.3,mechanical_mixing_cast,23.0,"10 wt% silicone rubber (MoldStar30, 30 Shore A)",0.252,,,,compression,0.00098,25.0,,553.0,8.5,0.76,,,,2194.4444444444443,33.73015873015873,,,,,,0.85,
W2396011947-003,W2396011947,syntactic foam type C (50% GB),primary,polyurethane,Smooth-On Task 3 rigid two-part PU casting resin with 10 wt% MoldStar30 silicone rubber,glass_microballoon,3M A20/1000,0.2,105.0,,,0.5,mechanical_mixing_cast,23.0,"10 wt% silicone rubber (MoldStar30, 30 Shore A)",0.376,,,,compression,0.00098,25.0,,206.94,7.5,0.77,,,,550.3723404255319,19.9468085106383,,,,,,0.8,
W2396011947-004,W2396011947,syntactic foam type B (30% GB) - SHPB high strain rate,primary,polyurethane,Smooth-On Task 3 rigid two-part PU casting resin with 10 wt% MoldStar30 silicone rubber,glass_microballoon,3M A20/1000,0.2,105.0,,,0.3,mechanical_mixing_cast,23.0,"10 wt% silicone rubber (MoldStar30, 30 Shore A)",0.252,,,,compression,2800.0,25.0,,,,,,,,,,,,,,,0.5,
W2396011947-005,W2396011947,"polyurea [20] (Gardner et al., Exp. Mech. 52, 119 (2012)) - comparison row, not a syntactic foam",secondary,other,polyurea impact-resistive coating,other,,,,,,0.0,other,,,1.0,,,,compression,,25.0,,8.9,5.38,0.619,,,,8.9,5.38,,,,,,0.6,
W2524658422-000,W2524658422,EGP foam 600 As-cast,primary,aluminum,Al-12wt.% Si alloy (near-eutectic),other,"Expanded soda-lime glass particles (EGP), OMYA, 1-2 mm, closed surface",0.35,,,0.65,,pressure_infiltration,600.0,,1.15,1.17,,,compression,0.01,25.0,,6.3,24.1,,5.3,,,5.478260869565218,20.956521739130437,,,,2.15e-05,,0.75,modulus_maybe_gpa
W2524658422-001,W2524658422,EGP foam 600 Quenched,primary,aluminum,Al-12wt.% Si alloy (near-eutectic),other,"Expanded soda-lime glass particles (EGP), OMYA, 1-2 mm, closed surface",0.35,,,0.65,,pressure_infiltration,600.0,,1.14,1.17,,,compression,0.01,25.0,,6.3,23.7,,5.2,,,5.526315789473685,20.789473684210527,,,,2.34e-05,,0.75,modulus_maybe_gpa
W2524658422-002,W2524658422,EGP foam 500 As-cast,primary,aluminum,Al-12wt.% Si alloy (near-eutectic),other,"Expanded soda-lime glass particles (EGP), OMYA, 1-2 mm, closed surface",0.35,,,0.65,,pressure_infiltration,500.0,,1.14,1.17,,,compression,0.01,25.0,,6.5,29.0,,6.1,,,5.701754385964913,25.438596491228072,,,,,,0.75,modulus_maybe_gpa
W2524658422-003,W2524658422,EGP foam 400 As-cast,primary,aluminum,Al-12wt.% Si alloy (near-eutectic),other,"Expanded soda-lime glass particles (EGP), OMYA, 1-2 mm, closed surface",0.35,,,0.65,,pressure_infiltration,400.0,,1.14,1.17,,,compression,0.01,25.0,,6.6,30.1,,6.3,,,5.7894736842105265,26.40350877192983,,,,,,0.75,modulus_maybe_gpa
W2524658422-004,W2524658422,EGP foam 300 As-cast,primary,aluminum,Al-12wt.% Si alloy (near-eutectic),other,"Expanded soda-lime glass particles (EGP), OMYA, 1-2 mm, closed surface",0.35,,,0.65,,pressure_infiltration,300.0,,1.14,1.17,,,compression,0.01,25.0,,6.8,32.3,,6.8,,,5.964912280701755,28.333333333333332,,,,1.89e-05,,0.75,modulus_maybe_gpa
W2524658422-005,W2524658422,EGP foam 300 Quenched,primary,aluminum,Al-12wt.% Si alloy (near-eutectic),other,"Expanded soda-lime glass particles (EGP), OMYA, 1-2 mm, closed surface",0.35,,,0.65,,pressure_infiltration,300.0,,1.14,1.17,,,compression,0.01,25.0,,5.9,19.0,,4.2,,,5.175438596491229,16.666666666666668,,,,2.29e-05,,0.75,modulus_maybe_gpa
W2524658422-006,W2524658422,EGP foam 200 As-cast,primary,aluminum,Al-12wt.% Si alloy (near-eutectic),other,"Expanded soda-lime glass particles (EGP), OMYA, 1-2 mm, closed surface",0.35,,,0.65,,pressure_infiltration,200.0,,1.13,1.17,,,compression,0.01,25.0,,6.9,32.9,,7.0,,,6.106194690265488,29.115044247787612,,,,1.74e-05,,0.75,modulus_maybe_gpa
W2765789016-000,W2765789016,Pure Mg (Mg-0),primary,magnesium,"Pure Mg turnings, 99.9% (ACROS Organics)",glass_microballoon,Sigma Aldrich hollow glass microspheres,1.05,11.0,,,0.0,stir_casting,750.0,,,,,,other,,25.0,ASTM E1876-09,,,,,,,,,,,,2.71e-05,,0.6,
W2765789016-001,W2765789016,Mg-5,primary,magnesium,"Pure Mg turnings, 99.9% (ACROS Organics)",glass_microballoon,Sigma Aldrich hollow glass microspheres,1.05,11.0,,,0.05,stir_casting,750.0,,,,,,other,,25.0,ASTM E1876-09,,,,,,,,,,,,,,0.5,
W2765789016-002,W2765789016,Mg-15,primary,magnesium,"Pure Mg turnings, 99.9% (ACROS Organics)",glass_microballoon,Sigma Aldrich hollow glass microspheres,1.05,11.0,,,0.15,stir_casting,750.0,,,,,,other,,25.0,ASTM E1876-09,,,,,,,,,,,,,,0.5,
W2765789016-003,W2765789016,Mg-25,primary,magnesium,"Pure Mg turnings, 99.9% (ACROS Organics)",glass_microballoon,Sigma Aldrich hollow glass microspheres,1.05,11.0,,,0.25,stir_casting,750.0,,1.47,,,,other,,25.0,ASTM E1876-09,,,,,,,,,,0.00256,,,,0.6,
W2995269908-000,W2995269908,"SMF (Al-Si / EGP syntactic metal foam beam, 28 x 10 x 80 mm)",primary,aluminum,"LM6 Al-Si alloy (10-13 wt.% Si), Norton Aluminium",other,"OMYA expanded soda-lime glass particles (EGP40), sieved 2-3 mm",0.35,2500.0,,0.675,,pressure_infiltration,700.0,,1.14,,,,flexure,,25.0,,7007.0,,,,,,6146.491228070176,,,,,,,0.7,
W3026845083-000,W3026845083,"Syntactic 1.07 g/cc (SMF, near-equivalent to porous 0.83 g/cc)",primary,aluminum,"LM6 Al-Si alloy (10-13 wt.% Si), Norton Aluminium",other,"OMYA expanded soda-lime glass particles (EGP40), 2-3 mm sieved",0.35,2500.0,,0.69,,pressure_infiltration,700.0,,1.07,,,,compression,0.01,25.0,,8700.0,33.0,,,,,8130.841121495327,30.8411214953271,,,,,,0.55,
W3026845083-001,W3026845083,FE model: idealised Al-Si cell containing EGP,model,aluminum,"Al-Si matrix modelled with E = 71 GPa, yield 92 MPa",other,"EGP modelled with stiffness 1.5 GPa, yield strength 5 MPa",0.35,2500.0,,,,pressure_infiltration,,,,,,,compression,,,,11600.0,35.5,,,,,,,,,,,,0.7,
W3139608776-000,W3139608776,SF1,primary,aluminum,"Al 7075 (Zn 5.68, Mg 2.39, Cu 1.4 wt%), as-cast",ceramic_hollow,"Bubble alumina hollow spheres, Alodur KKW (Imerys), 2-4 mm",,,,0.601,,pressure_infiltration,720.0,,1.78,,,,compression,0.00056,25.0,ISO 13314,,28.3,,16.9,36.2,0.56,,15.898876404494382,,,,,,0.9,
W3139608776-001,W3139608776,SF2,primary,aluminum,"Al 7075 (Zn 5.68, Mg 2.39, Cu 1.4 wt%), as-cast",ceramic_hollow,"Bubble alumina hollow spheres, Alodur KKW (Imerys), 2-4 mm",,,,0.628,,pressure_infiltration,720.0,,1.72,,,,compression,0.00056,25.0,ISO 13314,,19.1,,12.2,26.6,0.51,,11.104651162790699,,,,,,0.9,
W3139608776-002,W3139608776,SF3,primary,aluminum,"Al 7075 (Zn 5.68, Mg 2.39, Cu 1.4 wt%), as-cast",ceramic_hollow,"Bubble alumina hollow spheres, Alodur KKW (Imerys), 2-4 mm",,,,0.627,,pressure_infiltration,720.0,,1.74,,,,compression,0.00056,25.0,ISO 13314,,22.3,,17.5,39.2,0.52,,12.816091954022989,,,,,,0.9,
W3139608776-003,W3139608776,SF4 (T6),primary,aluminum,"Al 7075 (Zn 5.68, Mg 2.39, Cu 1.4 wt%), T6 heat treated (solution 480 C, aged 120 C / 24 h)",ceramic_hollow,"Bubble alumina hollow spheres, Alodur KKW (Imerys), 2-4 mm",,,,0.61,,pressure_infiltration,720.0,,1.77,,,,compression,0.00056,25.0,ISO 13314,,71.2,,27.8,60.9,0.53,,40.225988700564976,,,,,,0.9,
W3139608776-004,W3139608776,SF5 (T6),primary,aluminum,"Al 7075 (Zn 5.68, Mg 2.39, Cu 1.4 wt%), T6 heat treated (solution 480 C, aged 120 C / 24 h)",ceramic_hollow,"Bubble alumina hollow spheres, Alodur KKW (Imerys), 2-4 mm",,,,0.621,,pressure_infiltration,720.0,,1.74,,,,compression,0.00056,25.0,ISO 13314,,44.4,,20.5,42.9,0.51,,25.517241379310345,,,,,,0.9,
W3139608776-005,W3139608776,SF6 (T6),primary,aluminum,"Al 7075 (Zn 5.68, Mg 2.39, Cu 1.4 wt%), T6 heat treated (solution 480 C, aged 120 C / 24 h)",ceramic_hollow,"Bubble alumina hollow spheres, Alodur KKW (Imerys), 2-4 mm",,,,0.624,,pressure_infiltration,720.0,,1.73,,,,compression,0.00056,25.0,ISO 13314,,39.8,,24.9,49.3,0.49,,23.005780346820806,,,,,,0.9,
W3162570773-000,W3162570773,NSF,primary,epoxy,"Bisphenol-A epoxy E-51 with amine hardener 100-1B (100:33), Wuxi Singmen",glass_microballoon,3M S60HS,0.6,30.0,0.91,0.3,,mechanical_mixing_cast,25.0,,0.953,,,,compression,0.00417,25.0,,1170.0,97.2,,,,,1227.7019937040925,101.99370409233998,,,,,,0.75,
W3162570773-001,W3162570773,CWS60-30-B1,primary,epoxy,"Bisphenol-A epoxy E-51 with amine hardener 100-1B (100:33), Wuxi Singmen",glass_microballoon,3M S60HS,0.6,30.0,0.91,0.3,,mechanical_mixing_cast,25.0,"Warp-knitted spacer fabric B1 (PET; Chain+Inlay surface, spacer yarn type I, 0.2 mm, lapping movement 3)",0.975,,,,compression,0.00417,25.0,,,,,,,,,,,,,,,0.7,
W3162570773-002,W3162570773,CWS60-30-B2,primary,epoxy,"Bisphenol-A epoxy E-51 with amine hardener 100-1B (100:33), Wuxi Singmen",glass_microballoon,3M S60HS,0.6,30.0,0.91,0.3,,mechanical_mixing_cast,25.0,"Warp-knitted spacer fabric B2 (PET; Chain+Inlay surface, spacer yarn type II, 0.2 mm, lapping movement 4)",0.968,,,,compression,0.00417,25.0,,,,,,,,,,,,,,,0.7,
W3162570773-003,W3162570773,CWS60-30-B3,primary,epoxy,"Bisphenol-A epoxy E-51 with amine hardener 100-1B (100:33), Wuxi Singmen",glass_microballoon,3M S60HS,0.6,30.0,0.91,0.3,,mechanical_mixing_cast,25.0,"Warp-knitted spacer fabric B3 (PET; Hexagonal mesh surface, spacer yarn type I, 0.2 mm, lapping movement 3)",0.937,,,,compression,0.00417,25.0,,,,,,,,,,,,,,,0.7,
W3162570773-004,W3162570773,CWS60-30-B4,primary,epoxy,"Bisphenol-A epoxy E-51 with amine hardener 100-1B (100:33), Wuxi Singmen",glass_microballoon,3M S60HS,0.6,30.0,0.91,0.3,,mechanical_mixing_cast,25.0,"Warp-knitted spacer fabric B4 (PET; Chain+Inlay surface, spacer yarn type III, 0.16 mm, lapping movement 4)",0.958,,,,compression,0.00417,25.0,,,,,,,,,,,,,,,0.7,
W3162570773-005,W3162570773,CWK1-30-B1,primary,epoxy,"Bisphenol-A epoxy E-51 with amine hardener 100-1B (100:33), Wuxi Singmen",glass_microballoon,3M K1,0.125,65.0,0.98,0.3,,mechanical_mixing_cast,25.0,"Warp-knitted spacer fabric B1 (PET; Chain+Inlay surface, spacer yarn type I, 0.2 mm, lapping movement 3)",0.825,,,,compression,0.00417,25.0,,,,,,,,,,,,,,,0.7,
W3162570773-006,W3162570773,CWS35-30-B1,primary,epoxy,"Bisphenol-A epoxy E-51 with amine hardener 100-1B (100:33), Wuxi Singmen",glass_microballoon,3M S35,0.35,40.0,0.95,0.3,,mechanical_mixing_cast,25.0,"Warp-knitted spacer fabric B1 (PET; Chain+Inlay surface, spacer yarn type I, 0.2 mm, lapping movement 3)",0.902,,,,compression,0.00417,25.0,,,,,,,,,,,,,,,0.7,
W4379054102-000,W4379054102,Neat resin (PF/GM-0wt%),primary,other_thermoset,"In-situ synthesized resol phenolic resin (P/F 1:2, NaOH catalysed; p-toluenesulfonic acid sodium curing agent)",glass_microballoon,"Hollow glass microspheres, Bengbu Institute of Glass Industrial Design and Research (true density 0.3-0.6 g/cm3, 30-100 um, static pressure 10-60 MPa)",,,,,0.0,compression_molding,180.0,,,,,,other,,25.0,,,,,,,,,,,,0.298,,,0.8,
W4379054102-001,W4379054102,PF/GM-10wt%,primary,other_thermoset,"In-situ synthesized resol phenolic resin (P/F 1:2, NaOH catalysed; p-toluenesulfonic acid sodium curing agent)",glass_microballoon,"Hollow glass microspheres, Bengbu Institute of Glass Industrial Design and Research (true density 0.3-0.6 g/cm3, 30-100 um, static pressure 10-60 MPa)",,,,,0.1,compression_molding,180.0,,,,,,other,,25.0,,,,,,,,,,,,0.158,,,0.8,
W4379054102-002,W4379054102,PF/GM-20wt%,primary,other_thermoset,"In-situ synthesized resol phenolic resin (P/F 1:2, NaOH catalysed; p-toluenesulfonic acid sodium curing agent)",glass_microballoon,"Hollow glass microspheres, Bengbu Institute of Glass Industrial Design and Research (true density 0.3-0.6 g/cm3, 30-100 um, static pressure 10-60 MPa)",,,,,0.2,compression_molding,180.0,,,,,,other,,25.0,,,,,,,,,,,,0.129,,,0.8,
W4379054102-003,W4379054102,PF/GM-30wt%,primary,other_thermoset,"In-situ synthesized resol phenolic resin (P/F 1:2, NaOH catalysed; p-toluenesulfonic acid sodium curing agent)",glass_microballoon,"Hollow glass microspheres, Bengbu Institute of Glass Industrial Design and Research (true density 0.3-0.6 g/cm3, 30-100 um, static pressure 10-60 MPa)",,,,,0.3,compression_molding,180.0,,,,,,other,,25.0,,,,,,,,,,,,0.151,,,0.8,
W4379054102-004,W4379054102,PF/GM-40wt%,primary,other_thermoset,"In-situ synthesized resol phenolic resin (P/F 1:2, NaOH catalysed; p-toluenesulfonic acid sodium curing agent)",glass_microballoon,"Hollow glass microspheres, Bengbu Institute of Glass Industrial Design and Research (true density 0.3-0.6 g/cm3, 30-100 um, static pressure 10-60 MPa)",,,,,0.4,compression_molding,180.0,,,,,,other,,25.0,,,,,,,,,,,,0.17,,,0.8,
